世纪大道,0,1
龙阳路,2,1
常熟路,53,4
常熟路,54,1
人民广场,54,2
常熟路,55,2
上海南站,55,8
常熟路,56,4
人民广场,56,1
上海南站,56,13
漕宝路,57,1
上海南站,57,20
上海体育馆,57,1
高青路,58,1
衡山路,58,1
黄陂南路,58,1
上海南站,58,8
上南路,58,1
漕宝路,59,7
常熟路,59,2
虹桥路,59,1
陕西南路,59,1
上海南站,59,4
上海汽车城,59,2
上海体育馆,59,1
世纪公园,59,1
莘庄,59,2
徐家汇,59,1
漕宝路,60,2
常熟路,60,1
衡山路,60,1
黄陂南路,60,1
龙阳路,60,1
陆家嘴,60,4
马陆,60,1
美兰湖,60,1
浦三路,60,1
上海火车站,60,1
上海南站,60,4
世纪大道,60,1
新闸路,60,1
行知路,60,1
徐家汇,60,1
徐泾东,60,1
紫藤路,60,1
博兴路,61,1
漕宝路,61,2
常熟路,61,3
东安路,61,1
芳华路,61,4
共富新村,61,1
顾村公园,61,1
虹桥路,61,2
龙阳路,61,9
隆德路,61,1
陆家嘴,61,1
美兰湖,61,1
七宝,61,2
上海火车站,61,46
上海科技馆,61,2
上海南站,61,30
世纪大道,61,3
淞虹路,61,2
五莲路,61,1
莘庄,61,4
新江湾城,61,3
行知路,61,2
徐家汇,61,2
徐泾东,61,4
宝安公路,62,5
北新泾,62,2
漕宝路,62,6
常熟路,62,2
东安路,62,1
东昌路,62,6
共富新村,62,5
广兰路,62,5
国权路,62,1
航中路,62,1
衡山路,62,1
虹桥火车站,62,2
虹桥路,62,2
黄陂南路,62,4
江湾体育场,62,2
江杨北路,62,16
金科路,62,3
锦江乐园,62,2
锦绣路,62,1
莲花路,62,3
联航路,62,2
龙漕路,62,1
龙阳路,62,14
陆家嘴,62,1
罗山路,62,1
美兰湖,62,3
南陈路,62,1
南京东路,62,2
人民广场,62,5
陕西南路,62,2
商城路,62,1
上海火车站,62,29
上海南站,62,51
上海体育馆,62,1
上南路,62,1
沈杜公路,62,7
石龙路,62,1
世纪大道,62,4
世纪公园,62,3
市光路,62,11
淞虹路,62,2
通河新村,62,1
外环路,62,1
五角场,62,5
翔殷路,62,4
莘庄,62,5
新村路,62,1
新江湾城,62,3
徐家汇,62,3
徐泾东,62,4
延吉中路,62,6
宜山路,62,1
中山公园,62,2
安亭,63,8
宝安公路,63,6
宝杨路,63,6
北新泾,63,3
漕宝路,63,9
常熟路,63,2
场中路,63,1
大华三路,63,3
东昌路,63,12
芳华路,63,4
富锦路,63,16
港城路,63,11
高青路,63,1
共富新村,63,5
共康路,63,4
顾村公园,63,4
广兰路,63,18
海伦路,63,1
汉中路,63,2
航津路,63,1
航中路,63,1
虹桥2号航站楼,63,1
虹桥火车站,63,3
呼兰路,63,1
花木路,63,2
黄陂南路,63,2
黄兴公园,63,2
黄兴路,63,1
惠南,63,1
江浦路,63,1
江湾体育场,63,3
江杨北路,63,7
江月路,63,2
金科路,63,1
锦江乐园,63,2
静安寺,63,4
老西门,63,4
李子园路,63,2
莲花路,63,2
联航路,63,3
灵岩南路,63,1
龙柏新村,63,3
龙漕路,63,4
龙阳路,63,8
娄山关路,63,4
芦恒路,63,2
鲁班路,63,3
陆家嘴,63,3
罗南新村,63,2
罗山路,63,1
美兰湖,63,4
南京东路,63,5
南京西路,63,1
嫩江路,63,5
潘广路,63,4
彭浦新村,63,3
浦江镇,63,3
